neighborhood,occur_year,occur_count
Collier Hills,2014,16
Collier Hills,2015,17
Collier Hills,2016,20
Collier Hills,2017,13
Collier Hills,2018,22
Collier Hills,2019,15
Collier Hills,2020,10
Collier Hills,2021,11
Collier Hills,2022,1
Collier Hills North,2009,5
Collier Hills North,2010,5
Collier Hills North,2011,3
Collier Hills North,2012,8
Collier Hills North,2013,6
Collier Hills North,2014,2
Collier Hills North,2015,6
Collier Hills North,2016,4
Collier Hills North,2017,2
Collier Hills North,2018,4
Collier Hills North,2019,3
Collier Hills North,2020,3
Collier Hills North,2021,7
Collier Hills North,2022,1
Colonial Homes,2009,15
Colonial Homes,2010,21
Colonial Homes,2011,13
Colonial Homes,2012,22
Colonial Homes,2013,11
Colonial Homes,2014,9
Colonial Homes,2015,20
Colonial Homes,2016,20
Colonial Homes,2017,5
Colonial Homes,2018,23
Colonial Homes,2019,27
Colonial Homes,2020,11
Colonial Homes,2021,26
Colonial Homes,2022,6
Cross Creek,2009,38
Cross Creek,2010,44
Cross Creek,2011,50
Cross Creek,2012,63
Cross Creek,2013,34
Cross Creek,2014,39
Cross Creek,2015,25
Cross Creek,2016,17
Cross Creek,2017,19
Cross Creek,2018,15
Cross Creek,2019,20
Cross Creek,2020,9
Cross Creek,2021,22
Cross Creek,2022,3
Custer/McDonough/Guice,2009,187
Custer/McDonough/Guice,2010,196
Custer/McDonough/Guice,2011,132
Custer/McDonough/Guice,2012,122
Custer/McDonough/Guice,2013,120
Custer/McDonough/Guice,2014,103
Custer/McDonough/Guice,2015,109
Custer/McDonough/Guice,2016,75
Custer/McDonough/Guice,2017,91
Custer/McDonough/Guice,2018,72
Custer/McDonough/Guice,2019,88
Custer/McDonough/Guice,2020,87
Custer/McDonough/Guice,2021,65
Custer/McDonough/Guice,2022,16
Deerwood,2009,28
Deerwood,2010,27
Deerwood,2011,28
Deerwood,2012,28
Deerwood,2013,36
Deerwood,2014,28
Deerwood,2015,26
Deerwood,2016,21
Deerwood,2017,19
Deerwood,2018,11
Deerwood,2019,12
Deerwood,2020,16
Deerwood,2021,12
Deerwood,2022,2
Dixie Hills,2009,177
Dixie Hills,2010,229
Dixie Hills,2011,220
Dixie Hills,2012,154
Dixie Hills,2013,151
Dixie Hills,2014,123
Dixie Hills,2015,174
